Aachener Straße,StreetError
Lößnitzer Weg_4_12355,ZeroSchoolsError
Lößnitzer Weg_5_12355,ZeroSchoolsError
Lößnitzer Weg_7_12355,ZeroSchoolsError
Lößnitzer Weg_6_12355,ZeroSchoolsError
Lößnitzer Weg_9_12355,ZeroSchoolsError
Lößnitzer Weg_10_12355,ZeroSchoolsError
Löheweg_4_12355,ZeroSchoolsError
Lößnitzer Weg_8_12355,ZeroSchoolsError
Lorenzstraße_59_12209,StreetNoError
Löheweg_6_12355,ZeroSchoolsError
Lowise-Reuter-Ring_1_12359,ZeroSchoolsError
Lowise-Reuter-Ring_3_12359,ZeroSchoolsError
Lowise-Reuter-Ring_7_12359,ZeroSchoolsError
Lowise-Reuter-Ring_5_12359,ZeroSchoolsError
Lowise-Reuter-Ring_9_12359,ZeroSchoolsError
Lowise-Reuter-Ring_15_12359,ZeroSchoolsError
Lowise-Reuter-Ring_11_12359,ZeroSchoolsError
Lowise-Reuter-Ring_13_12359,ZeroSchoolsError
Lowise-Reuter-Ring_17_12359,ZeroSchoolsError
Lowise-Reuter-Ring_19_12359,ZeroSchoolsError
Lowise-Reuter-Ring_23_12359,ZeroSchoolsError
Lowise-Reuter-Ring_21_12359,ZeroSchoolsError
Lowise-Reuter-Ring_25_12359,ZeroSchoolsError
Lowise-Reuter-Ring_29_12359,ZeroSchoolsError
Lowise-Reuter-Ring_35_12359,ZeroSchoolsError
Lowise-Reuter-Ring_31_12359,ZeroSchoolsError
Lowise-Reuter-Ring_33_12359,ZeroSchoolsError
Lowise-Reuter-Ring_27_12359,ZeroSchoolsError
Lowise-Reuter-Ring_37_12359,ZeroSchoolsError
Lowise-Reuter-Ring_39_12359,ZeroSchoolsError
Lowise-Reuter-Ring_41_12359,ZeroSchoolsError
Lowise-Reuter-Ring_45_12359,ZeroSchoolsError
Lowise-Reuter-Ring_43_12359,ZeroSchoolsError
Lowise-Reuter-Ring_47_12359,ZeroSchoolsError
Luciusstraße_11_14199,StreetNoError
Lupsteiner Weg_14_14165,StreetNoError
Ludwigsburger Weg_1_12247,StreetNoError
Luisenstraße_17_13505,StreetNoError
Lynarstraße_4_14193,StreetNoError
Lutherstraße_5_12167,StreetNoError
Lynarstraße_12_14193,StreetNoError
Lynarstraße_19_14193,StreetNoError
Machnower Straße_18_14165,StreetNoError
Malchiner Straße_3_12359,ZeroSchoolsError
Malchiner Straße_5_12359,ZeroSchoolsError
Malchiner Straße_6_12359,ZeroSchoolsError
Malchiner Straße_7_12359,ZeroSchoolsError
Malchiner Straße_8_12359,ZeroSchoolsError
Malchiner Straße_9_12359,ZeroSchoolsError
Malchiner Straße_11_12359,ZeroSchoolsError
Malchiner Straße_10_12359,ZeroSchoolsError
Malchiner Straße_12_12359,ZeroSchoolsError
Malchiner Straße_13_12359,ZeroSchoolsError
Malchiner Straße_14_12359,ZeroSchoolsError
Malchiner Straße_15_12359,ZeroSchoolsError
Malchiner Straße_16_12359,ZeroSchoolsError
Malchiner Straße_17_12359,ZeroSchoolsError
Malchiner Straße_18_12359,ZeroSchoolsError
Malchiner Straße_19_12359,ZeroSchoolsError
Malchiner Straße_20_12359,ZeroSchoolsError
Malchiner Straße_21_12359,ZeroSchoolsError
Malchiner Straße_22_12359,ZeroSchoolsError
Malchiner Straße_23_12359,ZeroSchoolsError
Malchiner Straße_24_12359,ZeroSchoolsError
Malchiner Straße_25_12359,ZeroSchoolsError
Malchiner Straße_27_12359,ZeroSchoolsError
Malchiner Straße_28_12359,ZeroSchoolsError
Malchiner Straße_30_12359,ZeroSchoolsError
Malchiner Straße_29_12359,ZeroSchoolsError
Malchiner Straße_31_12359,ZeroSchoolsError
Malchiner Straße_32_12359,ZeroSchoolsError
Malchiner Straße_33_12359,ZeroSchoolsError
Malchiner Straße_26_12359,ZeroSchoolsError
Malchiner Straße_34_12359,ZeroSchoolsError
Malchiner Straße_35_12359,ZeroSchoolsError
Malchiner Straße_36_12359,ZeroSchoolsError
Malchiner Straße_37_12359,ZeroSchoolsError
Malchiner Straße_38_12359,ZeroSchoolsError
Malchiner Straße_39_12359,ZeroSchoolsError
Malchiner Straße_43_12359,ZeroSchoolsError
Malchiner Straße_41_12359,ZeroSchoolsError
Malchiner Straße_42_12359,ZeroSchoolsError
Malchiner Straße_40_12359,ZeroSchoolsError
Malchiner Straße_44_12359,ZeroSchoolsError
Malchiner Straße_45_12359,ZeroSchoolsError
Malchiner Straße_46_12359,ZeroSchoolsError
Malchiner Straße_48_12359,ZeroSchoolsError
Malchiner Straße_47_12359,ZeroSchoolsError
Malchiner Straße_49_12359,ZeroSchoolsError
Malchiner Straße_51_12359,ZeroSchoolsError
Malchiner Straße_53_12359,ZeroSchoolsError
Malchiner Straße_50_12359,ZeroSchoolsError
Malchiner Straße_52_12359,ZeroSchoolsError
Malchiner Straße_54_12359,ZeroSchoolsError
Malchiner Straße_56_12359,ZeroSchoolsError
Malchiner Straße_58_12359,ZeroSchoolsError
Malchiner Straße_55_12359,ZeroSchoolsError
Malchiner Straße_59_12359,ZeroSchoolsError
Malchiner Straße_60_12359,ZeroSchoolsError
Malchiner Straße_61_12359,ZeroSchoolsError
Malchiner Straße_62_12359,ZeroSchoolsError
Malchiner Straße_64_12359,ZeroSchoolsError
Malchiner Straße_63_12359,ZeroSchoolsError
Manitiusstraße_3_12047,ZeroSchoolsError
Manitiusstraße_4_12047,ZeroSchoolsError
Manitiusstraße_2_12047,ZeroSchoolsError
Malchiner Straße_65_12359,ZeroSchoolsError
Manitiusstraße_1_12047,ZeroSchoolsError
Manitiusstraße_5_12047,ZeroSchoolsError
Manitiusstraße_6_12047,ZeroSchoolsError
Manitiusstraße_10_12047,ZeroSchoolsError
Manitiusstraße_7_12047,ZeroSchoolsError
Manitiusstraße_9_12047,ZeroSchoolsError
Manitiusstraße_11_12047,ZeroSchoolsError
Manitiusstraße_13_12047,ZeroSchoolsError
Manitiusstraße_17_12047,ZeroSchoolsError
Manitiusstraße_12_12047,ZeroSchoolsError
Manitiusstraße_16_12047,ZeroSchoolsError
Manitiusstraße_18_12047,ZeroSchoolsError
Manitiusstraße_19_12047,ZeroSchoolsError
Manitiusstraße_23_12047,ZeroSchoolsError
Manitiusstraße_20_12047,ZeroSchoolsError
Manitiusstraße_22_12047,ZeroSchoolsError
Margaretenstraße_4_12203,StreetNoError
Margaretenstraße_23_12203,StreetNoError
Margaretenstraße_22_12203,StreetNoError
Manitiusstraße_24_12047,ZeroSchoolsError
Margaretenstraße_25_12203,StreetNoError
Margaretenstraße_24_12203,StreetNoError
Mariannenstraße_26_10999,StreetNoError
Margaretenstraße_26_12203,StreetNoError
Margaretenstraße_28_12203,StreetNoError
Margaretenstraße_27_12203,StreetNoError
Marienfelder Chaussee_24_12349,StreetNoError
Marienfelder Chaussee_26_12349,StreetNoError
Marienfelder Chaussee_28_12349,StreetNoError
Marienfelder Chaussee_103_12349,StreetNoError
Martin-Luther-Straße_29_13467,StreetNoError
Markgrafenstraße_72_13465,StreetNoError
Maßliebweg_1_12357,ZeroSchoolsError
Maßliebweg_3_12357,ZeroSchoolsError
Martin-Luther-Straße_52_13467,StreetNoError
Maßliebweg_5_12357,ZeroSchoolsError
Maßliebweg_4_12357,ZeroSchoolsError
Maßliebweg_7_12357,ZeroSchoolsError
Maßliebweg_8_12357,ZeroSchoolsError
Maßliebweg_9_12357,ZeroSchoolsError
Maßliebweg_10_12357,ZeroSchoolsError
Maßliebweg_11_12357,ZeroSchoolsError
Maßliebweg_13_12357,ZeroSchoolsError
Maßliebweg_15_12357,ZeroSchoolsError
Maßliebweg_16_12357,ZeroSchoolsError
Maßliebweg_17_12357,ZeroSchoolsError
Maßliebweg_14_12357,ZeroSchoolsError
Maßliebweg_18_12357,ZeroSchoolsError
Maßliebweg_12_12357,ZeroSchoolsError
Maßliebweg_19_12357,ZeroSchoolsError
Massiner Weg_3_12349,ZeroSchoolsError
Massiner Weg_2_12349,ZeroSchoolsError
Massiner Weg_4_12349,ZeroSchoolsError
Massiner Weg_6_12349,ZeroSchoolsError
Massiner Weg_9_12349,ZeroSchoolsError
Massiner Weg_5_12349,ZeroSchoolsError
Massolleweg_1_14089,StreetNoError
Massiner Weg_12_12349,ZeroSchoolsError
Massiner Weg_10_12349,ZeroSchoolsError
Matthäusweg_3_12355,ZeroSchoolsError
Matthäusweg_2_12355,ZeroSchoolsError
Matthäusweg_7_12355,ZeroSchoolsError
Matthäusweg_8_12355,ZeroSchoolsError
Matthäusweg_9_12355,ZeroSchoolsError
Matthäusweg_5_12355,ZeroSchoolsError
Matthäusweg_13_12355,ZeroSchoolsError
Matthäusweg_11_12355,ZeroSchoolsError
Matthäusweg_15_12355,ZeroSchoolsError
Mauerstraße_10_13597,StreetNoError
Maulbronner Ufer_20_12247,StreetNoError
Matthäusweg_19_12355,ZeroSchoolsError
Maulbronner Ufer_4_12247,StreetNoError
Matthäusweg_17_12355,ZeroSchoolsError
Matthäusweg_21_12355,ZeroSchoolsError
Max-Eyth-Straße_12_14195,StreetNoError
Maurerweg_104_12351,StreetNoError
Maulbronner Ufer_40_12247,StreetNoError
Maybachufer_32_12047,ZeroSchoolsError
Maybachufer_34_12047,ZeroSchoolsError
Maybachufer_42_12047,ZeroSchoolsError
Maybachufer_39_12047,ZeroSchoolsError
Maybachufer_36_12047,ZeroSchoolsError
Maybachufer_46_12045,ZeroSchoolsError
Maybachufer_41_12047,ZeroSchoolsError
Maybachufer_40_12047,ZeroSchoolsError
Maybachufer_43_12047,ZeroSchoolsError
Maybachufer_47_12045,ZeroSchoolsError
Maybachufer_44_12047,ZeroSchoolsError
Maybachufer_48_12045,ZeroSchoolsError
Mecklenburgische Straße_22_10713,StreetNoError
Maybachufer_50_12045,ZeroSchoolsError
Meißner Weg_8_12355,ZeroSchoolsError
Meißner Weg_9_12355,ZeroSchoolsError
Maybachufer_49_12045,ZeroSchoolsError
Meißner Weg_10_12355,ZeroSchoolsError
Meißner Weg_11_12355,ZeroSchoolsError
Maybachufer_51_12045,ZeroSchoolsError
Meißner Weg_6_12355,ZeroSchoolsError
Meißner Weg_14_12355,ZeroSchoolsError
Meißner Weg_15_12355,ZeroSchoolsError
Meißner Weg_13_12355,ZeroSchoolsError
Meißner Weg_17_12355,ZeroSchoolsError
Meißner Weg_16_12355,ZeroSchoolsError
Meißner Weg_18_12355,ZeroSchoolsError
Meißner Weg_19_12355,ZeroSchoolsError
Meißner Weg_20_12355,ZeroSchoolsError
Meißner Weg_21_12355,ZeroSchoolsError
Meißner Weg_22_12355,ZeroSchoolsError
Meißner Weg_24_12355,StreetNoError
Meißner Weg_23_12355,ZeroSchoolsError
Meißner Weg_26_12355,ZeroSchoolsError
Meißner Weg_28_12355,ZeroSchoolsError
Meißner Weg_27_12355,ZeroSchoolsError
Meißner Weg_30_12355,ZeroSchoolsError
Meißner Weg_32_12355,ZeroSchoolsError
Meißner Weg_34_12355,ZeroSchoolsError
Meißner Weg_38_12355,StreetNoError
Meißner Weg_36_12355,ZeroSchoolsError
Meißner Weg_35_12355,ZeroSchoolsError
Meißner Weg_40_12355,ZeroSchoolsError
Meißner Weg_39_12355,ZeroSchoolsError
Meißner Weg_41_12355,ZeroSchoolsError
Meißner Weg_42_12355,ZeroSchoolsError
Meißner Weg_44_12355,ZeroSchoolsError
Meißner Weg_45_12355,ZeroSchoolsError
Meißner Weg_46_12355,ZeroSchoolsError
Meißner Weg_47_12355,ZeroSchoolsError
Meißner Weg_49_12355,ZeroSchoolsError
Meißner Weg_48_12355,ZeroSchoolsError
Meißner Weg_51_12355,ZeroSchoolsError
Meißner Weg_50_12355,ZeroSchoolsError
Meißner Weg_52_12355,ZeroSchoolsError
Meißner Weg_54_12355,ZeroSchoolsError
Meißner Weg_53_12355,ZeroSchoolsError
Meißner Weg_57_12355,ZeroSchoolsError
Meißner Weg_55_12355,ZeroSchoolsError
Meißner Weg_56_12355,ZeroSchoolsError
Meißner Weg_59_12355,ZeroSchoolsError
Meißner Weg_58_12355,ZeroSchoolsError
Meißner Weg_60_12355,ZeroSchoolsError
Meißner Weg_62_12355,ZeroSchoolsError
Meißner Weg_63_12355,ZeroSchoolsError
Meißner Weg_64_12355,ZeroSchoolsError
Meißner Weg_65_12355,ZeroSchoolsError
Meißner Weg_66_12355,ZeroSchoolsError
Meißner Weg_61_12355,ZeroSchoolsError
Memlingstraße_9_12203,StreetNoError
Miningstraße_1_12359,ZeroSchoolsError
Miningstraße_2_12359,ZeroSchoolsError
Miningstraße_5_12359,ZeroSchoolsError
Miningstraße_3_12359,ZeroSchoolsError
Miningstraße_6_12359,ZeroSchoolsError
Miningstraße_4_12359,ZeroSchoolsError
Miningstraße_7_12359,ZeroSchoolsError
Miningstraße_8_12359,ZeroSchoolsError
Miningstraße_10_12359,ZeroSchoolsError
Miningstraße_12_12359,ZeroSchoolsError
Miningstraße_9_12359,ZeroSchoolsError
Miningstraße_11_12359,ZeroSchoolsError
Miningstraße_14_12359,ZeroSchoolsError
Miningstraße_13_12359,ZeroSchoolsError
Miningstraße_15_12359,ZeroSchoolsError
Miningstraße_18_12359,ZeroSchoolsError
Miningstraße_17_12359,ZeroSchoolsError
Miningstraße_19_12359,ZeroSchoolsError
Miningstraße_16_12359,ZeroSchoolsError
Miningstraße_20_12359,ZeroSchoolsError
Miningstraße_22_12359,ZeroSchoolsError
Miningstraße_21_12359,ZeroSchoolsError
Miningstraße_23_12359,ZeroSchoolsError
Miningstraße_24_12359,ZeroSchoolsError
Miningstraße_29_12359,ZeroSchoolsError
Miningstraße_26_12359,ZeroSchoolsError
Miningstraße_25_12359,ZeroSchoolsError
Miningstraße_28_12359,ZeroSchoolsError
Miningstraße_27_12359,ZeroSchoolsError
Miningstraße_32_12359,ZeroSchoolsError
Miningstraße_31_12359,ZeroSchoolsError
Miningstraße_30_12359,ZeroSchoolsError
Miningstraße_33_12359,ZeroSchoolsError
Miningstraße_34_12359,ZeroSchoolsError
Miningstraße_42_12359,ZeroSchoolsError
Miningstraße_40_12359,ZeroSchoolsError
Miningstraße_35_12359,ZeroSchoolsError
Miningstraße_36_12359,ZeroSchoolsError
Miningstraße_38_12359,ZeroSchoolsError
Miningstraße_46_12359,ZeroSchoolsError
Miningstraße_48_12359,ZeroSchoolsError
Miningstraße_44_12359,ZeroSchoolsError
Miningstraße_52_12359,ZeroSchoolsError
Miningstraße_50_12359,ZeroSchoolsError
Miningstraße_54_12359,ZeroSchoolsError
Miningstraße_62_12359,ZeroSchoolsError
Miningstraße_56_12359,ZeroSchoolsError
Miningstraße_58_12359,ZeroSchoolsError
Miningstraße_64_12359,ZeroSchoolsError
Miningstraße_60_12359,ZeroSchoolsError
Miningstraße_66_12359,ZeroSchoolsError
Miningstraße_68_12359,ZeroSchoolsError
Miningstraße_70_12359,ZeroSchoolsError
Miningstraße_72_12359,ZeroSchoolsError
Miningstraße_74_12359,ZeroSchoolsError
Miningstraße_82_12359,ZeroSchoolsError
Miningstraße_84_12359,ZeroSchoolsError
Miningstraße_76_12359,ZeroSchoolsError
Miningstraße_80_12359,ZeroSchoolsError
Miningstraße_78_12359,ZeroSchoolsError
Miningstraße_86_12359,ZeroSchoolsError
Miningstraße_87_12359,ZeroSchoolsError
Miningstraße_88_12359,ZeroSchoolsError
Miningstraße_89_12359,ZeroSchoolsError
Miningstraße_90_12359,ZeroSchoolsError
Miningstraße_93_12359,ZeroSchoolsError
Miningstraße_91_12359,ZeroSchoolsError
Miningstraße_92_12359,ZeroSchoolsError
Miningstraße_94_12359,ZeroSchoolsError
Miningstraße_96_12359,ZeroSchoolsError
Miningstraße_95_12359,ZeroSchoolsError
Miningstraße_97_12359,ZeroSchoolsError
Miningstraße_99_12359,ZeroSchoolsError
Miningstraße_100_12359,ZeroSchoolsError
Miningstraße_98_12359,ZeroSchoolsError
Miningstraße_101_12359,ZeroSchoolsError
Mohnweg_1_12357,StreetNoError
Miningstraße_102_12359,ZeroSchoolsError
Mohriner Allee_7_12347,ZeroSchoolsError
Mohriner Allee_14_12347,ZeroSchoolsError
Mohriner Allee_8_12347,ZeroSchoolsError
Mohriner Allee_10_12347,ZeroSchoolsError
Mohriner Allee_12_12347,ZeroSchoolsError
Mohriner Allee_16_12347,ZeroSchoolsError
Mohriner Allee_18_12347,ZeroSchoolsError
Mohriner Allee_22_12347,ZeroSchoolsError
Mohriner Allee_20_12347,ZeroSchoolsError
Mohriner Allee_24_12347,ZeroSchoolsError
Mohriner Allee_28_12347,ZeroSchoolsError
Mohriner Allee_46_12347,ZeroSchoolsError
Mohriner Allee_48_12347,ZeroSchoolsError
Mohriner Allee_47_12347,ZeroSchoolsError
Mohriner Allee_30_12347,ZeroSchoolsError
Mohriner Allee_50_12347,ZeroSchoolsError
Mohriner Allee_51_12347,ZeroSchoolsError
Mohriner Allee_58_12347,ZeroSchoolsError
Mohriner Allee_55_12347,ZeroSchoolsError
Mohriner Allee_60_12347,ZeroSchoolsError
Mohriner Allee_61_12347,ZeroSchoolsError
Mohriner Allee_62_12347,StreetNoError
Mohriner Allee_64_12347,ZeroSchoolsError
Mohriner Allee_66_12347,ZeroSchoolsError
Mohriner Allee_63_12347,ZeroSchoolsError
Mohriner Allee_67_12347,ZeroSchoolsError
Mohriner Allee_68_12347,ZeroSchoolsError
Mohriner Allee_70_12347,ZeroSchoolsError
Mohriner Allee_73_12347,ZeroSchoolsError
Mohriner Allee_69_12347,ZeroSchoolsError
Mohriner Allee_74_12347,ZeroSchoolsError
Mohriner Allee_76_12347,ZeroSchoolsError
Mohriner Allee_81_12347,ZeroSchoolsError
Mohriner Allee_78_12347,ZeroSchoolsError
Mohriner Allee_77_12347,ZeroSchoolsError
Mohriner Allee_80_12347,ZeroSchoolsError
Mohriner Allee_85_12347,ZeroSchoolsError
Mohriner Allee_88_12347,ZeroSchoolsError
Mohriner Allee_86_12347,ZeroSchoolsError
Mohriner Allee_90_12347,ZeroSchoolsError
Mohriner Allee_92_12347,ZeroSchoolsError
Mohriner Allee_102_12347,StreetNoError
Mohriner Allee_98_12347,ZeroSchoolsError
Mohriner Allee_99_12347,ZeroSchoolsError
Mohriner Allee_104_12347,ZeroSchoolsError
Mohriner Allee_105_12347,ZeroSchoolsError
Mohriner Allee_110_12347,ZeroSchoolsError
Mohriner Allee_108_12347,ZeroSchoolsError
Mohriner Allee_111_12347,ZeroSchoolsError
Mohriner Allee_112_12347,ZeroSchoolsError
Mohriner Allee_100_12347,ZeroSchoolsError
Mohriner Allee_114_12347,ZeroSchoolsError
Mohriner Allee_116_12347,ZeroSchoolsError
Mohriner Allee_117_12347,ZeroSchoolsError
Mohriner Allee_119_12347,ZeroSchoolsError
Mohriner Allee_124_12347,ZeroSchoolsError
Mohriner Allee_118_12347,ZeroSchoolsError
Mohriner Allee_127_12347,ZeroSchoolsError
Mohriner Allee_120_12347,ZeroSchoolsError
Mohriner Allee_122_12347,ZeroSchoolsError
Mohriner Allee_129_12347,ZeroSchoolsError
Mohriner Allee_126_12347,ZeroSchoolsError
Mohriner Allee_130_12347,ZeroSchoolsError
Mohriner Allee_132_12347,ZeroSchoolsError
Mohriner Allee_139_12347,ZeroSchoolsError
Mohriner Allee_136_12347,ZeroSchoolsError
Mohriner Allee_133_12347,ZeroSchoolsError
Mohriner Allee_142_12347,ZeroSchoolsError
Mohriner Allee_134_12347,ZeroSchoolsError
Mohriner Allee_137_12347,ZeroSchoolsError
Mohriner Allee_144_12347,ZeroSchoolsError
Mohriner Allee_148_12347,ZeroSchoolsError
Mohriner Allee_145_12347,ZeroSchoolsError
Mohriner Allee_146_12347,ZeroSchoolsError
Mohriner Allee_156_12347,ZeroSchoolsError
Mohriner Allee_158_12347,ZeroSchoolsError
Mohriner Allee_160_12347,ZeroSchoolsError
Mohriner Allee_162_12347,ZeroSchoolsError
Moosrosenstraße_1_12347,ZeroSchoolsError
Moosrosenstraße_3_12347,ZeroSchoolsError
Mohriner Allee_165_12347,ZeroSchoolsError
Moosrosenstraße_5_12347,ZeroSchoolsError
Mohriner Allee_164_12347,ZeroSchoolsError
Moosrosenstraße_7_12347,ZeroSchoolsError
Moosrosenstraße_9_12347,ZeroSchoolsError
Moosrosenstraße_13_12347,ZeroSchoolsError
Moosrosenstraße_15_12347,ZeroSchoolsError
Moosrosenstraße_25_12347,ZeroSchoolsError
Moosrosenstraße_11_12347,ZeroSchoolsError
Moosrosenstraße_22_12347,ZeroSchoolsError
Moosrosenstraße_18_12347,ZeroSchoolsError
Müllerstraße_159_13353,StreetNoError
Mozartstraße_11_12247,StreetNoError
Münchener Straße_23_12309,StreetNoError
Münchener Straße_41_12309,StreetNoError
Nachodstraße_6_10779,StreetNoError
Nansenstraße_3_12047,ZeroSchoolsError
Nansenstraße_2_12047,ZeroSchoolsError
Nansenstraße_6_12047,ZeroSchoolsError
Nansenstraße_4_12047,ZeroSchoolsError
Nansenstraße_5_12047,ZeroSchoolsError
Nansenstraße_11_12047,ZeroSchoolsError
Nansenstraße_10_12047,ZeroSchoolsError
Nansenstraße_12_12047,ZeroSchoolsError
Nansenstraße_13_12047,ZeroSchoolsError
Nansenstraße_7_12047,ZeroSchoolsError
Nansenstraße_15_12047,ZeroSchoolsError
Nansenstraße_14_12047,ZeroSchoolsError
Nansenstraße_18_12047,ZeroSchoolsError
Nansenstraße_19_12047,ZeroSchoolsError
Nansenstraße_17_12047,ZeroSchoolsError
Nansenstraße_31_12047,ZeroSchoolsError
Nansenstraße_27_12047,ZeroSchoolsError
Nansenstraße_22_12047,ZeroSchoolsError
Nansenstraße_32_12047,ZeroSchoolsError
Nansenstraße_33_12047,ZeroSchoolsError
Nansenstraße_38_12047,ZeroSchoolsError
Nansenstraße_34_12047,ZeroSchoolsError
Nansenstraße_36_12047,ZeroSchoolsError
Nansenstraße_35_12047,ZeroSchoolsError
Nansenstraße_37_12047,ZeroSchoolsError
Nauener Straße_61_13581,StreetNoError
Neckarstraße_6_12053,StreetNoError
Nennhauser Damm_31_13591,StreetNoError
Neuendorfer Straße_93_13585,StreetNoError
Neuhofer Straße_82_12355,StreetNoError
Neuköllner Straße_206_12357,ZeroSchoolsError
Neuköllner Straße_208_12357,ZeroSchoolsError
Neuköllner Straße_212_12357,ZeroSchoolsError
Neuköllner Straße_214_12357,ZeroSchoolsError
Neuköllner Straße_216_12357,ZeroSchoolsError
Neuköllner Straße_218_12357,ZeroSchoolsError
Neuköllner Straße_222_12357,ZeroSchoolsError
Neuköllner Straße_220_12357,ZeroSchoolsError
Neuköllner Straße_230_12357,ZeroSchoolsError
Neuköllner Straße_224_12357,ZeroSchoolsError
Neuköllner Straße_228_12357,ZeroSchoolsError
Neuköllner Straße_232_12357,ZeroSchoolsError
Neuköllner Straße_234_12357,ZeroSchoolsError
Neuköllner Straße_236_12357,ZeroSchoolsError
Neuköllner Straße_244_12357,ZeroSchoolsError
Neuköllner Straße_242_12357,ZeroSchoolsError
Neuköllner Straße_246_12357,ZeroSchoolsError
Neuköllner Straße_248_12357,ZeroSchoolsError
Neuköllner Straße_250_12357,ZeroSchoolsError
Neuköllner Straße_268_12357,ZeroSchoolsError
Neumarkplan_1_12349,StreetNoError
Neumarkplan_2_12349,StreetNoError
Neumarkplan_3_12349,StreetNoError
Neumarkplan_4_12349,StreetNoError
Neumarkplan_6_12349,StreetNoError
Neumarkplan_5_12349,StreetNoError
Neumarkplan_7_12349,StreetNoError
Neumarkplan_9_12349,StreetNoError
Neumarkplan_10_12349,StreetNoError
Neumarkplan_11_12349,StreetNoError
Neumarkplan_12_12349,StreetNoError
Neumarkplan_13_12349,StreetNoError
Neumarkplan_15_12349,StreetNoError
Neumarkplan_14_12349,StreetNoError
Neumarkplan_8_12349,StreetNoError
Niederheideweg_1_13589,StreetNoError
Niederneuendorfer Allee_60_13587,StreetNoError
Nietheweg_1_13403,StreetNoError
Dr.-Markus-Straße_1_13127,ZeroSchoolsError
Dr.-Markus-Straße_2_13127,ZeroSchoolsError
Dr.-Markus-Straße_5_13127,ZeroSchoolsError
Dr.-Markus-Straße_6_13127,ZeroSchoolsError
Dr.-Markus-Straße_4_13127,ZeroSchoolsError
Dr.-Markus-Straße_7_13127,ZeroSchoolsError
Dr.-Markus-Straße_9_13127,ZeroSchoolsError
Dr.-Markus-Straße_8_13127,ZeroSchoolsError
Dr.-Markus-Straße_10_13127,ZeroSchoolsError
Dr.-Markus-Straße_12_13127,ZeroSchoolsError
Oldenburger Straße_3_10551,StreetNoError
Oldenburger Straße_4_10551,StreetNoError
Oldenburger Straße_42_10551,StreetNoError
Olwenstraße_36_13465,StreetNoError
Olwenstraße_37_13465,StreetNoError
Onkel-Bräsig-Straße_5_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_4_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_1_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_3_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_2_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_9_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_7_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_11_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_13_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_12_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_15_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_16_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_17_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_14_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_18_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_19_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_21_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_20_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_22_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_23_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_25_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_28_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_27_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_24_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_26_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_29_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_31_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_32_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_33_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_30_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_34_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_36_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_37_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_35_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_39_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_40_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_38_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_42_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_41_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_43_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_44_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_46_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_48_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_50_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_45_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_49_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_52_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_51_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_47_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_53_12359,ZeroSchoolsError
Onkel-Bräsig-Straße_54_12359,ZeroSchoolsError
